generator,level,run,completionPercentage,currentCoins,gameStatus,killsByStomp,maxJumpAirTime,maxXJump,numJumps,remainingTime,totalKills
lvl_6-3,lvl_6-3_level_1.txt,7,0.22719635,0,LOSE,0,10,116.109695,3,18080,0
lvl_6-3,lvl_6-3_level_1.txt,8,0.22719635,0,LOSE,0,10,116.109695,3,18080,0
lvl_6-3,lvl_6-3_level_1.txt,9,0.22719635,0,LOSE,0,10,116.109695,3,18080,0
lvl_6-3,lvl_6-3_level_1.txt,10,0.22719635,0,LOSE,0,10,116.109695,3,18080,0
lvl_6-3,lvl_6-3_level_5.txt,1,0.2628466,0,LOSE,0,14,117.64899,4,17180,0
lvl_6-3,lvl_6-3_level_5.txt,2,0.2628466,0,LOSE,0,14,117.64899,4,17180,0
lvl_6-3,lvl_6-3_level_5.txt,3,0.2628466,0,LOSE,0,14,117.64899,4,17180,0
lvl_6-3,lvl_6-3_level_5.txt,4,0.2628466,0,LOSE,0,14,117.64899,4,17180,0
lvl_6-3,lvl_6-3_level_5.txt,5,0.2628466,0,LOSE,0,14,117.64899,4,17180,0
lvl_6-3,lvl_6-3_level_5.txt,6,0.2628466,0,LOSE,0,14,117.64899,4,17180,0
lvl_6-3,lvl_6-3_level_5.txt,7,0.2628466,0,LOSE,0,14,117.64899,4,17180,0
lvl_6-3,lvl_6-3_level_5.txt,8,0.26103973,0,LOSE,0,15,113.286835,4,17060,0
lvl_6-3,lvl_6-3_level_5.txt,9,0.26103973,0,LOSE,0,15,113.286835,4,17060,0
lvl_6-3,lvl_6-3_level_5.txt,10,0.2628466,0,LOSE,0,14,117.64899,4,17180,0
lvl_6-3,lvl_6-3_level_4.txt,1,0.10569034,0,LOSE,0,0,0.0,1,18920,0
lvl_6-3,lvl_6-3_level_4.txt,2,0.10569034,0,LOSE,0,0,0.0,1,18920,0
lvl_6-3,lvl_6-3_level_4.txt,3,0.10569034,0,LOSE,0,0,0.0,1,18920,0
lvl_6-3,lvl_6-3_level_4.txt,4,0.10569034,0,LOSE,0,0,0.0,1,18920,0
lvl_6-3,lvl_6-3_level_4.txt,5,0.10569034,0,LOSE,0,0,0.0,1,18920,0
lvl_6-3,lvl_6-3_level_4.txt,6,0.10569034,0,LOSE,0,0,0.0,1,18920,0
lvl_6-3,lvl_6-3_level_4.txt,7,0.10569034,0,LOSE,0,0,0.0,1,18920,0
lvl_6-3,lvl_6-3_level_4.txt,8,0.10569034,0,LOSE,0,0,0.0,1,18920,0
lvl_6-3,lvl_6-3_level_4.txt,9,0.10569034,0,LOSE,0,0,0.0,1,18920,0
lvl_6-3,lvl_6-3_level_4.txt,10,0.10569034,0,LOSE,0,0,0.0,1,18920,0
lvl_6-3,lvl_6-3_level_2.txt,1,0.06817458,0,LOSE,0,15,121.39906,1,19220,0
lvl_6-3,lvl_6-3_level_2.txt,2,0.06817458,0,LOSE,0,15,121.39906,1,19220,0
lvl_6-3,lvl_6-3_level_2.txt,3,0.06817458,0,LOSE,0,15,121.39906,1,19220,0
lvl_6-3,lvl_6-3_level_2.txt,4,0.06817458,0,LOSE,0,15,121.39906,1,19220,0
lvl_6-3,lvl_6-3_level_2.txt,5,0.06817458,0,LOSE,0,15,121.39906,1,19220,0
lvl_6-3,lvl_6-3_level_2.txt,6,0.06817458,0,LOSE,0,15,121.39906,1,19220,0
lvl_6-3,lvl_6-3_level_2.txt,7,0.06817458,0,LOSE,0,15,121.39906,1,19220,0
lvl_6-3,lvl_6-3_level_2.txt,8,0.06817458,0,LOSE,0,15,121.39906,1,19220,0
lvl_6-3,lvl_6-3_level_2.txt,9,0.06817458,0,LOSE,0,15,121.39906,1,19220,0
